service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000011_TR61,0,0,0,0,0,1,1,20250809,20250824
1111111_TR104,1,1,1,1,1,1,1,20241215,20251213
1111111_TR105,1,1,1,1,1,1,1,20250801,20251213
0011000_TR15,0,0,1,1,0,0,0,20241215,20250731
1111111_TR106,1,1,1,1,1,1,1,20250801,20251213
0011000_TR16,0,0,1,1,0,0,0,20241216,20250731
0011000_TR17,0,0,1,1,0,0,0,20241216,20250731
0011000_TR18,0,0,1,1,0,0,0,20241216,20250731
1111101_TR12,1,1,1,1,1,0,1,20250801,20251212
0000011_TR62,0,0,0,0,0,1,1,20250802,20251213
0000010_TR18,0,0,0,0,0,1,0,20250809,20250823
0000001_TR23,0,0,0,0,0,0,1,20250810,20250824
0011000_TR19,0,0,1,1,0,0,0,20241215,20250731
0011000_TR20,0,0,1,1,0,0,0,20241215,20250731
0011000_TR21,0,0,1,1,0,0,0,20241216,20250731
0011000_TR22,0,0,1,1,0,0,0,20241215,20250731
1111111_TR107,1,1,1,1,1,1,1,20241215,20251213
0000011_TR63,0,0,0,0,0,1,1,20250810,20250824
1111111_TR108,1,1,1,1,1,1,1,20250707,20250831
1111111_TR109,1,1,1,1,1,1,1,20250801,20251213
1111111_TR110,1,1,1,1,1,1,1,20241215,20251213
1111111_TR111,1,1,1,1,1,1,1,20241215,20251213
1111111_TR112,1,1,1,1,1,1,1,20241215,20251213
0000000_TR6,0,0,0,0,0,0,0,20250720,20250824
1111111_TR113,1,1,1,1,1,1,1,20241215,20251213
0000000_TR7,0,0,0,0,0,0,0,20250719,20250824
1111111_TR114,1,1,1,1,1,1,1,20241215,20251213
0000000_TR8,0,0,0,0,0,0,0,20250719,20250823
0000011_TR64,0,0,0,0,0,1,1,20250524,20250831
0000011_TR65,0,0,0,0,0,1,1,20241215,20251213
0000011_TR66,0,0,0,0,0,1,1,20241215,20251213
0000011_TR67,0,0,0,0,0,1,1,20241215,20251213
0000011_TR68,0,0,0,0,0,1,1,20241215,20251213
0000011_TR69,0,0,0,0,0,1,1,20241215,20251213
0000000_TR9,0,0,0,0,0,0,0,20250719,20250824
0000011_TR70,0,0,0,0,0,1,1,20241215,20251213
0000011_TR71,0,0,0,0,0,1,1,20241215,20251213
1111100_TR72,1,1,1,1,1,0,0,20250630,20250829
1111100_TR73,1,1,1,1,1,0,0,20250630,20250814
1111100_TR74,1,1,1,1,1,0,0,20250310,20251212
1111100_TR75,1,1,1,1,1,0,0,20250701,20250829
0000011_TR72,0,0,0,0,0,1,1,20241221,20251213
1111010_TR3,1,1,1,1,0,1,0,20241216,20251213
0000100_TR12,0,0,0,0,1,0,0,20241220,20251212
